,TPK DKI JAKARTA,Data Inflasi,monthly_hotel_accomodation_gt,monthly_air_transportation_gt,monthly_sea_transportation_gt,monthly_land_transportation_gt,monthly_kurs_jual,monthly_culinary_shopping_gt,monthly_vacation_venue_gt,monthly_holiday_count,Kunjungan Wisnus DKI Jakarta,is_national_holiday,is_educational_holiday,is_covid
2022-04-30,45.83,3.47,19.370666666666672,13.72,0.9753333333333333,7.884333333333333,14440.814,41.03366666666667,15.620333333333331,14,3999014,1,1,0
2022-05-31,51.79,3.55,21.82935483870968,15.843870967741937,1.161935483870968,10.739354838709676,14641.555483870967,46.667419354838714,43.92709677419355,19,5358565,1,1,0
2022-06-30,54.32,4.35,21.020333333333333,13.960666666666667,1.1303333333333332,9.506666666666666,14753.402,40.54333333333333,29.294333333333334,13,5251021,1,1,0
2022-07-31,54.49,4.9399999999999995,20.123548387096776,13.045806451612904,1.0667741935483872,9.17290322580645,15052.696451612905,40.51709677419355,27.42548387096774,16,4623932,1,1,0
2022-08-31,54.76,4.6899999999999995,17.708709677419357,12.528709677419354,0.9441935483870968,7.672258064516128,14913.195483870968,36.564516129032256,26.02774193548387,9,4521438,1,0,0
2022-09-30,54.03,5.949999999999999,18.215666666666667,12.141333333333334,0.9473333333333334,7.829999999999999,15035.435666666666,38.10066666666667,24.541333333333334,8,5423854,0,0,0
2022-10-31,56.54,5.71,19.271290322580647,11.902903225806451,0.6361290322580645,7.99,15490.194516129031,36.965161290322584,25.878709677419355,10,5504491,1,0,0
2022-11-30,60.81,5.42,18.929,11.393,0.748,7.319,15733.945666666667,33.92633333333333,24.861,8,4757430,0,0,0
2022-12-31,59.63,5.510000000000001,22.54,12.290322580645162,0.8619354838709677,8.360322580645162,15677.933870967743,43.63225806451614,33.16516129032258,19,5606163,1,1,0
2023-01-31,48.4,5.28,18.169032258064515,12.692580645161291,0.8332258064516129,8.101290322580645,15358.18258064516,40.84032258064516,27.131290322580643,10,6440619,1,0,0
2023-02-28,52.62,5.47,19.20607142857143,12.82642857142857,0.8714285714285713,6.982857142857143,15197.968928571428,37.271428571428565,22.36285714285714,8,5764546,1,0,0
2023-03-31,53.37,4.97,19.16483870967742,12.80258064516129,0.9258064516129032,6.968387096774194,15388.397741935485,37.20193548387097,19.284193548387094,11,5102411,1,1,0
2023-04-30,42.52,4.33,17.613333333333333,13.480333333333334,1.2893333333333332,8.667333333333334,14915.138,44.64633333333334,28.076,19,3818359,1,1,0
2023-05-31,50.75,4.0,19.129354838709677,13.426451612903227,1.0412903225806451,8.359032258064516,14887.162903225806,38.36806451612903,26.001612903225805,10,4205052,1,0,0
2023-06-30,55.6,3.52,20.44,13.801666666666668,1.0373333333333334,9.010666666666667,15023.610333333334,42.281333333333336,28.402,15,4741778,1,1,0
2023-07-31,55.5,3.08,20.080967741935485,13.456129032258064,1.0574193548387096,8.236129032258065,15112.898709677418,43.428709677419356,25.35,18,4765407,1,1,0
2023-08-31,55.86,3.27,18.42451612903226,12.149999999999999,0.8603225806451613,6.853870967741935,15324.532258064517,37.864838709677414,23.320967741935487,9,4460100,1,0,0
2023-09-30,57.33,2.2800000000000002,18.680333333333337,11.389000000000001,0.925,7.192333333333334,15436.229666666668,38.04333333333333,24.861333333333334,10,5547181,1,0,0
2023-10-31,56.42,2.56,18.802903225806453,11.48709677419355,0.7335483870967742,6.858387096774193,15822.654838709677,37.82612903225806,22.827741935483875,9,5538389,0,0,0
2023-11-30,61.37,2.86,21.258666666666667,11.949,0.8683333333333334,7.454666666666667,15701.216333333334,38.516,23.506000000000004,8,5724711,0,0,0
2023-12-31,61.51,2.6100000000000003,23.142903225806453,12.979032258064517,0.9712903225806452,9.09,15583.52935483871,48.80741935483871,32.97774193548387,20,7514043,1,1,0
2024-01-31,51.73,2.5700000000000003,17.00193548387097,11.860322580645162,0.7812903225806451,6.524193548387097,15689.185161290323,41.068709677419356,22.302258064516128,9,6575224,1,0,0
2024-02-29,51.08,2.75,16.594827586206897,9.904827586206897,0.6244827586206896,5.256896551724138,15740.793103448275,41.786206896551725,20.7951724137931,11,6591103,1,0,0
2024-03-31,44.08,3.05,17.469032258064516,9.652258064516127,0.8296774193548386,5.1093548387096765,15785.598387096774,43.825161290322576,15.499354838709676,14,6516141,1,1,0
2024-04-30,43.47,3.0,16.950333333333333,11.811666666666667,0.9333333333333333,6.293666666666667,16132.660333333333,48.54566666666667,27.624333333333333,17,6717681,1,1,0
2024-05-31,52.79,2.8400000000000003,20.49483870967742,10.555483870967741,0.6887096774193548,5.749677419354839,16152.523548387097,47.596774193548384,23.057741935483868,13,7003491,1,0,0
2024-06-30,51.54,2.5100000000000002,20.653000000000002,10.578333333333335,0.9333333333333333,6.373666666666667,16414.296333333335,49.89433333333333,27.130999999999997,17,6400253,1,1,0
